full_name,surname,name,ug_degree,ug_institution,ug_grad_year,ug_subjects,m_degree,m_institution,m_grad_year,d_degree,d_institution,d_grad_year,d_subjects,current_position,dataTXT,us_state,country,coordinate location,latitude,longitude,pos_year,science,science1,science_icon,science2,science3,science4,science5,major_career
"Bedinger, Anna Moore",Bedinger,Anna Moore,AB,Bryn Mawr College,1899,Physics and Cheinistry Teacher of Science in the Red Springs Seminary Red Springs N C g99-1904 an Regitrr 19013; Teacher of Science and Latin WashingtOn Coiiege 1904 8 and Lady Principal 1907- 08; Teacher in Florence School Washington D; c 1908-10; Missionary in the Southern Presbyterian Mission Kunsan Korea 1910-16,NA,NA,NA,NA,NA,NA,NA,Missionary in the Southern Presbyterian Mission Kunsan Korea,Gunsan,NA,South Korea,"35.978611111111,126.71138888889",35.97861111,126.7113889,1916,physics,physics,physics,NA,NA,NA,NA,major
"Bedinger, Maria Voorhees",Bedinger,Maria Voorhees,AB,Bryn Mawr College,1891,Mathematic an hygicSg Teacher in the BeUewood 1821; Graduate ;student ; Mawr 18932 ; Teacher Mathemarics in Mrs E7 L HeadySchool; Qgrman7 togn> Philadelphia 1892-95; Graduate Student University of Pennsylvania 1894-95 Teacher of Physics and Mathematics in Mary ;institute Sri Louis Mo1902-1895,NA,NA,NA,NA,NA,NA,NA,Head of Physics Department in the Girls' High School Louisville,Louisville,Kentucky,United States of America,"38.254166666667,-85.760277777778",38.25416667,-85.76027778,NA,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Belleville, Marie Elizabeth",Belleville,Marie Elizabeth,AB,Bryn Mawr College,1909,Mathematics and Physics Head of Department of Mathematics and Science Lincoln School Providence II I 1910-11; Head of Science Department Laurel School Cleveland () 1911-12; Instructor in Physics Margaret Morrison Carnegie School Pittsburgh Pa 1912-16; Secretary in Y W C A New York City 1910-17; Studying Chinese for Y W C A Y ork 1917-19,NA,NA,NA,NA,NA,NA,NA,Studying Chinese for Y W C A York,York,Pennsylvania,United States of America,"39.9628,-76.7281",39.9628,-76.7281,1919,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Bent, Elizabeth Conway",Bent,Elizabeth Conway,AB,Bryn Mawr College,1896,Greek and Latin Private Tutor in Greek Latin and Mathematics Harrisburg Pa 1896-97 and 1898-99; Teacher in the Misses Sergeant and Miss Bent's School Harrisburg 1897-1906; Private Tutor 1899-1906; Teacher of Greek and Latin in the Misses Shipley's School Bryn Mawr Pa 1906-07 Married 1907 Mr Herbert Lincoln Clark Two daughters,NA,NA,NA,NA,NA,NA,NA,Teacher of Greek and Latin in the Misses Shipley's School Bryn Mawr Pennsylvania,Bryn Mawr,Pennsylvania,United States of America,"40.0211,-75.3169",40.0211,-75.3169,1907,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Bettman, Marian Rose",Bettman,Marian Rose,AB,Bryn Mawr College,1919,Psychology and Biology Student Department of Industrial Medicine and Public Health Cincinnati General Hospital and Medical 1919,NA,NA,NA,NA,NA,NA,NA,Student Department of Industrial Medicine and Public Health Cincinnati General Hospital and Medical,Cincinnati,Ohio,United States of America,"39.133333333333,-84.5",39.13333333,-84.5,1919,biology,biology,biology,NA,NA,NA,NA,major
"Biedenbach, Mary Estella Dolores",Biedenbach,Mary Estella Dolores,AB,Bryn Mawr College,1905,Chemistry and Geology Teacher in the High School Butler 1905-09; in the High School Camden N J 1910; Assistant Instructor in Mathematics Carnegie Technical Schools Pittsburgh Pa 1910-11; Instructor in Gardening Pittsburgh 1911-13; Student Reno Business Pittsburgh 1912-13; Private Secretary to First Assistant District Attorney and Special County Detective Pittsburgh 1914-17; Student at Law 1914-16 and Attorney at Law 1917-18,NA,NA,NA,NA,NA,NA,NA,Student at Law  and Attorney at Law,"Pittsburgh, PA",Pennsylvania,United States of America,"40.440625, -79.995886",40.440625,-79.995886,1918,"chemistry, geology, mathematics",chemistry,interdisciplinary,geology,mathematics,NA,NA,major
"Bills, Marion Almira",Bills,Marion Almira,AB,University of Michigan,1908,NA,NA,NA,NA,PhD,Bryn Mawr College,1917,Psychology and Physics Teacher in Public School Allegan,Research Assistant Bureau of Personnel Carnegie Institute of Technology Pittsburgh,Pittsburgh,Pennsylvania,United States of America,"40.45,-80",40.45,-80,1919,physics,physics,physics,NA,NA,NA,NA,major
"Bixler, Rena Catherine",Bixler,Rena Catherine,AB,Bryn Mawr College,1914,Physics and Philosophy and Psychology Graduate Student University of Pittsburgh and Volunteer Social Worker 1615-16; A R C Relief Work Paris France 1917-19,NA,NA,NA,NA,NA,NA,NA,A R C Relief Work Paris France,Paris,NA,France,"48.856613, 2.352222",48.856613,2.352222,1919,physics,physics,physics,NA,NA,NA,NA,major
"Black, Marion Putnam",Black,Marion Putnam,AB,Agnes Scott College,1915,NA,NA,NA,NA,NA,NA,NA,NA,Research Chemist Fleischmann Mfg Co Peekskill New York,Peekskill,New York,United States of America,"41.288888888889,-73.92",41.28888889,-73.92,1919,chemistry,chemistry,chemistry,NA,NA,NA,NA,career
"Blaisdell, Viola Margaret",Blaisdell,Viola Margaret,AB,Bryn Mawr College,1907,Latin and Mathematics Graduate Student University of Pennsylvania 1912-15 AM 1915; Volunteer Suffrage Worker 1915,AM,NA,1915,NA,NA,NA,NA,Teacher of Mathematics in the High School Camden New Jersey,Camden,New Jersey,United States of America,"39.9368,-75.1066",39.9368,-75.1066,1907,mathematics,mathematics,mathematics,NA,NA,NA,NA,both
"Blake, Sue Avis",Blake,Sue Avis,AB,Bryn Mawr College,1898,Mathematics and Physics and,AM,NA,1900,NA,NA,NA,NA,Instructor in Physics  and Demonstrator,"Merion, PA",Pennsylvania,United States of America,"39.998214, -75.250823",39.998214,-75.250823,1919,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,both
"Blakey, May Louise",Blakey,May Louise,AB,Bryn Mawr College,1900,Latin and German Teacher of Latin and Mathematics in Miss Faulkner's School Philadelphia 1900- 03; Principal of a Private School 1903-07 Married 1907 Mr Thomas Ross Three sons,NA,NA,NA,NA,NA,NA,NA,Principal of a Private School,"Doylestown, Pa.",Pennsylvania,United States of America,"40.310106, -75.129894",40.310106,-75.129894,1907,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Blanc, Zena Jennie",Blanc,Zena Jennie,AB,Bryn Mawr College,1915,Mathematics Philosophy and Psychology Court Representative Juvenile Aid Society of Philadelphia 1915-18; Overseas Field Secretary Jewish Welfare Board 1919,NA,NA,NA,NA,NA,NA,NA,Overseas Field Secretary Jewish Welfare Board,Philadelphia,Pennsylvania,United States of America,"39.952584, -75.165222",39.952584,-75.165222,1919,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Blanchard, Elizabeth Miller",Blanchard,Elizabeth Miller,AB,Bryn Mawr College,1889,Greek and Mathematics Fellow in Mathematics Bryn Mawr 1889-90; Teacher of Mathematics in the Bryn Mawr School Baltimore Md 1891-92; in the Misses Shipley's School Bryn Mawr Pa 1895-1908 and in Miss Irwin's School Philadelphia 1896-1908; Graduate Student Bryn Mawr 1902-03; Assistant Manager of the Bellefonte Basket Married 1914 Dr Robert Mills Beach,NA,NA,NA,NA,NA,NA,NA,Assistant Manager of the Bellefonte Basket,Bellefonte,Pennsylvania,United States of America,"40.91472222, -77.77472222",40.91472222,-77.77472222,NA,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Blanchard, Mary Miles",Blanchard,Mary Miles,AB,Bryn Mawr College,1889,Chemistry and Biology Owner and Director of the Bellefonte Basket Shop 1906-18,NA,NA,NA,NA,NA,NA,NA,Owner and Director of the Bellefonte Basket Shop,Bellefonte,Pennsylvania,United States of America,"40.91472222, -77.77472222",40.91472222,-77.77472222,1918,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Blauvelt, Elisabeth Hedges",Blauvelt,Elisabeth Hedges,AB,Bryn Mawr College,1896,Physics and Biology; MD Johns Hopkins Medical School 1903 Teacher of Physics in the Girls' High School Reading Pa 1896-99; Student in the Johns Hopkins Medical School 1899-1903; Interne New York Infirmary for Women and Children 1903-05; Commissioned Medical Missionary to China Hospital at Sio-Khe,NA,NA,NA,NA,NA,NA,NA,Commissioned Medical Missionary to China Hospital at SioKhe,People's Republic of China,NA,People's Republic of China,"35,103",35,103,NA,"biology, physics",biology,interdisciplinary,physics,NA,NA,NA,major
"Bliss, Eleanora Frances",Bliss,Eleanora Frances,AB,Bryn Mawr College,1904,Chemistry and Biology and AM 1904 PhD 1912 subjects Geology Palaeontology and Inorganic Chemistry Graduate Student Bryn Mawr  1904- 05 1911-12; Graduate Scholar in Geology and Demonstrator in Geological Laboratory 1905-06 and Assistant Curator of Geological Museum 1904-06; Graduate Student in Geology University of California 1910-11; Geologic Aid United States Geological Survey 1916-17 Assistant Geologist 1917-18 and Associate Geologist 1918,AM,Bryn Mawr College,1904,PhD,Bryn Mawr College,1912,Geology Palaeontology and Inorganic Chemistry Graduate Student Bryn Mawr  1904- 05 1911-12; Graduate Scholar in Geology and Demonstrator in Geological Laboratory 1905-06 and Assistant Curator of Geological Museum 1904-06; Graduate Student in Geology University of California 1910-11; Geologic Aid United States Geological Survey 1916-17 Assistant Geologist 1917-18 and Associate Geologist 1918,Assistant Maryland Geological Survey,Maryland,Maryland,United States of America,"39,-76.7",39,-76.7,1917,"biology, chemistry, geology",biology,interdisciplinary,chemistry,geology,NA,NA,both
"Blodgett, Katharine Burr",Blodgett,Katharine Burr,AB,Bryn Mawr College,1917,Mathematics and Physics Graduate Student University of Chicago 1917-18; Research Worker for General Electric Co 1918,NA,NA,NA,NA,NA,NA,NA,Research Worker for General Electric Co,"Schenectady, N. Y.",New York,United States of America,"42.814243, -73.939569",42.814243,-73.939569,1918,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Blue, Augusta Lyell",Blue,Augusta Lyell,AB,Bryn Mawr College,1919,Mathematics and Physics,NA,NA,NA,NA,NA,NA,NA,NA,"Charlottesville, Va.",North Carolina,United States of America,"38.029306, -78.476678",38.029306,-78.476678,1919,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Boring, Alice Middleton",Boring,Alice Middleton,AB,Bryn Mawr College,1904,Chemistry and Biology AM 1905 and PhD 1910 subjects Zoology and Physiology Graduate Scholar in Biology and Assistant in the BiologicalLaboratory Bryn Mawr 1904-05; Moore Fellow in Zoology University of Pennsylyania 1905- 06; Fellow in Biology Bryn Mawr 1906-07; Holder of the Mary E Garrett European Fellowship and Instructor in Zoology Vassar 1907-08; Student University of Wurzburg and Zoological Station Naples 1908-09; Instructor in Zoology University of Maine 1909-11 Assistant Professor 1911-13 and Associate Professor 1913-18; Assistant in Zoology Premedical Dept Peking Union Medical  Peking China 1918,AM,Bryn Mawr College,1905,PhD,Bryn Mawr College,1910,Zoology and Physiology Graduate Scholar in Biology and Assistant in the BiologicalLaboratory Bryn Mawr 1904-05; Moore Fellow in Zoology University of Pennsylyania 1905- 06; Fellow in Biology Bryn Mawr 1906-07; Holder of the Mary E Garrett European Fellowship and Instructor in Zoology Vassar 1907-08; Student University of Wurzburg and Zoological Station Naples 1908-09; Instructor in Zoology University of Maine 1909-11 Assistant Professor 1911-13 and Associate Professor 1913-18; Assistant in Zoology Premedical Dept Peking Union Medical  Peking China 1918,Instructor in Biology for Girls Peking,Beijing,NA,People's Republic of China,"39.905,116.39138888889",39.905,116.3913889,1918,"biology, chemistry, physiology, zoology",biology,interdisciplinary,chemistry,physiology,zoology,NA,both
"Bowman, Elsa",Bowman,Elsa,AB,Bryn Mawr College,1896,Chemistry and Biology Teacher of Science and Mathematics in St Timothy's School Catonsville Md 1896-98 in the Brearley School New York City 1898,NA,NA,NA,NA,NA,NA,NA,Reader in Mathematics Entrance Examination Board,New York City,New York,United States of America,"40.712775, -74.005973",40.712775,-74.005973,1904,"biology, chemistry, mathematics",biology,interdisciplinary,chemistry,mathematics,NA,NA,both
"Boyer, Anne Ayer",Boyer,Anne Ayer,AB,Bryn Mawr College,1914,Chemistrv anti Biology Teacher of French and German In the High Scliool Pottsville 190-12 Heatl of Department of Modern languages 1914-17 Head of Department of Science 1918-  BoraR,NA,NA,NA,NA,NA,NA,NA,Teacher of French and German In the High School Pottsville PA,Pottsville,Pennsylvania,United States of America,"40.685,-76.2028",40.685,-76.2028,1917,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Boyer, Martha Getz",Boyer,Martha Getz,AB,Bryn Mawr College,1909,Alathematics and Chemistry Graduate Student Bryn Mawr 1909 1910-11; Teacher of Mathematics in Mrs Chapman and Miss Jones's School Chestnut Hill Philadelphia 1909-18; in the Misses Kirlc's School Bryn Mawr 1913-14 and in the Baldwin School Bryn Mawr 1914_,NA,NA,NA,NA,NA,NA,NA,"Teacher of Mathematics in the Baldwin School, Bryn Mawr",Bryn Mawr College,Pennsylvania,United States of America,"40.02639,-75.31361",40.02639,-75.31361,1914,"chemistry, mathematics",chemistry,interdisciplinary,mathematics,NA,NA,NA,major
"Brakeley, Elizabeth",Brakeley,Elizabeth,AB,Bryn Mawr College,1916,Mathematics and Chemistry and,AM,NA,1917,NA,NA,NA,NA,Assistant in Chemistry Columbia University,Columbia University,New York,United States of America,"40.8075,-73.961944444444",40.8075,-73.96194444,1919,"chemistry, mathematics",chemistry,interdisciplinary,mathematics,NA,NA,NA,both
"Branch, Zelda Madison",Branch,Zelda Madison,AB,Bryn Mawr College,1912,Philosophy and Physics Student in Iausanne and Munich 1913-14; Volunteer Social Worker 1915-19; State Superintendent Women's Division u s Employment Service State of Missouri 1915-19 and Assistiint Federal Director 1919  Married 1912 Dr William Emile Cramer,NA,NA,NA,NA,NA,NA,NA,State Superintendent Women's Division u s Employment Service State of Missouri  and Assistiint Federal Director,Missouri,Missouri,United States of America,"38.5,-92.5",38.5,-92.5,1919,physics,physics,physics,NA,NA,NA,NA,major
"Brandon, Rose",Brandon,Rose,AB,Bryn Mawr College,1914,Modem History and Economics and Politics and,AM,NA,1915,NA,NA,NA,NA,Instructor in Geology Mount Holyoke,Mount Holyoke College,Massachusetts,United States of America,"42.255586,-72.574503",42.255586,-72.574503,1917,geology,geology,geology,NA,NA,NA,NA,career
"Branson, Katharine Fleming",Branson,Katharine Fleming,AB,Bryn Mawr College,1909,Latin and Mathematics Teacher of Latin and Mathematics in St Mary's School Peekskill N Y 1910-12; Instructor in Latin and Physics in the Girton School Winnetka III 1912-14 and Dean of Students 1913- 14; Instructor in Latin and Mathematics Miss Beard's School Orange N J 1914- 17; Assistant Secretary Miss Madeira's School Washington D C 1917-19; Associate Director of Studies and Teacher Miss Beard's School Orange N J 1919,NA,NA,NA,NA,NA,NA,NA,Associate Director of Studies and Teacher Miss Beard's School Orange New Jersey,Orange,New Jersey,United States of America,"40.768,-74.2357",40.768,-74.2357,1919,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Branson, Laura Elizabeth",Branson,Laura Elizabeth,AB,Bryn Mawr College,1915,Latin and Mathematics Head of Department of Mathematics in Rosemary Hall Greenwich Conn 1915-18 and in The Shipley School Bryn Mawr Pa 1918,NA,NA,NA,NA,NA,NA,NA,Head of Department of Mathematics in Rosemary Hall Greenwich Connecticut   and in The Shipley School Bryn Mawr Pennsylvania,Rosemary Hall,Connecticut,United States of America,"41.0375,-73.636667",41.0375,-73.636667,1918,mathematics,mathematics,mathematics,NA,NA,NA,NA,both
"Branson, Mary Garrett",Branson,Mary Garrett,AB,Bryn Mawr College,1916,Mathematics and Physics Teacher of Mathematics and Science in Rosemary Hall Greenwich Conn 1916-18 and in The Shipley School Bryn Mawr Pa 1918,NA,NA,NA,NA,NA,NA,NA,Teacher of Mathematics and Science in Rosemary Hall Greenwich Connecticut   and in The Shipley School Bryn Mawr Pennsylvania,Rosemary Hall,Connecticut,United States of America,"41.0375,-73.636667",41.0375,-73.636667,1918,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,both
"Breckenridge, Marguerite Jennie",Breckenridge,Marguerite Jennie,AB,Grove City College,1913,NA,NA,NA,NA,NA,NA,NA,NA,Head of Department of Mathematics in the High School New Kensington Pennsylvania,New Kensington,Pennsylvania,United States of America,"40.568333333333,-79.758333333333",40.56833333,-79.75833333,1919,mathematics,mathematics,mathematics,NA,NA,NA,NA,career
"Breed, Mary Bidwell",Breed,Mary Bidwell,NA,NA,NA,NA,AM,NA,1895,PhD,Bryn Mawr College,1901,Chemistry and Mathematics Holder of the Bryn Mawr European Fellowship Graduate Student and Assistant in the Chemical Laboratory Bryn Mawr,Dean of the Margaret Morrison Carnegie School of the Carnegie Institute of Technology  and Director of the Margaret Murrison Division,Carnegie Mellon University,Pennsylvania,United States of America,"40.443322,-79.943583",40.443322,-79.943583,1919,"chemistry, mathematics",chemistry,interdisciplinary,mathematics,NA,NA,NA,major
"Brown, Josephine Chapin",Brown,Josephine Chapin,AB,Bryn Mawr College,1913,Physics and Biology Pastor's Assistant House of Hope Church St Paul 1913-14; Teacher in the Alisses Shipley's School Bryn Alawr 1914-15; Dairying 1918,NA,NA,NA,NA,NA,NA,NA,Dairying,"Marine-on-St. Croix, Minn",Minnesota,United States of America,"45.198434, -92.770531",45.198434,-92.770531,1918,"biology, physics",biology,interdisciplinary,physics,NA,NA,NA,major
"Brown, Mary Wilmarth",Brown,Mary Wilmarth,AB,Bryn Mawr College,1913,Chemistry and Biology Judges' Clerk 1913-15; Student Rush Medical University of Chicago 1914-15; Research Worker in the Memorial Institute for the Study of Infectious Diseases Chicago 1915-17; Laboratory Assistant Jewish Dispensary Chicago 1916-17; Laboratory Technician U S ABase Hospital 13 A E F 1918-19; Laboratory Assistant Michael Reese Hospital Chicago 1919,NA,NA,NA,NA,NA,NA,NA,Laboratory Assistant Michael Reese Hospital Chicago,Michael Reese Hospital,Illinois,United States of America,"41.8414,-87.6136",41.8414,-87.6136,1919,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
